SpName,TraitName,ValueQ,Units,ValueC,ValueT,CitName,Notes
Collinsia parviflora,Habit,,,herbaceous,,--,
Collinsia parviflora,Habitat_main,,,upland prairie,,Native Seed Network 07,
Collinsia parviflora,Height_max,30,cm,,,Flora ID Northwest 04,
Collinsia parviflora,Leaf_division,,,simple,,Flora ID Northwest 04,
Collinsia parviflora,Leaf_margin,,,entire,,Flora ID Northwest 04,
Collinsia parviflora,Leaf_shape,,,,linear,Flora ID Northwest 04,
Collinsia parviflora,Life_form,,,therophyte,,--,
Collinsia parviflora,Mass_seed,1.419999957,mg,,,Flynn et al. 06,
Collinsia parviflora,Mass_seed,0.592666686,mg,,,Clark et al 08b,
Collinsia parviflora,Nitrogen_fixing,,,No,,--,
Collinsia parviflora,Perenniality,,,annual,,--
Collinsia parviflora,Propagation_mode,,,seed,,--
Collinsia parviflora,Reproductive_sched,,,monocarpy,,--
Collinsia parviflora,Root_system,,,tap,,Flora ID Northwest 04
Collinsia parviflora,Status_Federal,,,none,,--
Collinsia parviflora,Status_ONHIC,,,none,,--
Collinsia parviflora,Status_State,,,none,,--
Collinsia parviflora,Stem_arrangement,,,single upright,,UW Burke Museum
Collinsia parviflora,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07"
Collinsia parviflora,Where_native,,,Willamette Valley,,--
Collomia grandiflora,Authority,,,,Dougl. ex Lindl.,"USDA, NRCS 07"
Collomia grandiflora,Clonality,,,non-clonal,,--
Collomia grandiflora,Code,,,,COGR4,"USDA, NRCS 07"
Collomia grandiflora,Common_name,,,,grand collomia,"USDA, NRCS 07"
Collomia grandiflora,Diaspore_feature,,,mucilage,,--
Collomia grandiflora,Dispersal_peak_month,6.5,month,,,Boyer 07a
Collomia grandiflora,Dormancy_break_mech,,,stratification,,Roberts and Clark 04a,
Collomia grandiflora,Dormancy_break_mech,,,not stratification,,Flynn et al. 06,
Collomia grandiflora,Family,,,,Polemoniaceae,--,
Collomia grandiflora,Flowering_peak_month,5.5,month,,,Boyer 07a,
Collomia grandiflora,Germination_peak_month,10,month,,,Boyer 07a,
Collomia grandiflora,Germination_rate,95,%,,,Flynn et al. 06,
Collomia grandiflora,Germination_rate,61.33333206,mg,,,Clark et al 08b,
Collomia grandiflora,Growth_form_Corn,,,erect leafy,,--,
Collomia grandiflora,Growth_form_std,,,dicot forb,,--,
Collomia grandiflora,Habit,,,herbaceous,,--,
Collomia grandiflora,Habitat_main,,,upland prairie,,Boyer 07a,
Collomia grandiflora,Height_max,70,cm,,,Flora ID Northwest 04,
Collomia grandiflora,LAR_standard,17.21292877, mm2/mg,,,Clark et al 08,Standard conditions
Collomia grandiflora,Leaf_area_21d,263.0329285, mm2,,,Clark et al 08,Standard conditions
Collomia grandiflora,Leaf_division,,,simple,,Flora ID Northwest 04,
Collomia grandiflora,Leaf_margin,,,entire,,Flora ID Northwest 04,
Collomia grandiflora,Leaf_shape,,,,lanceolate,Flora ID Northwest 04,
Collomia grandiflora,Life_form,,,therophyte,,--,
Collomia grandiflora,LMR_standard,0.74759227, mg/mg,,,Clark et al 08,Standard conditions
Collomia grandiflora,Mass_aboveground_21d,6.688235283,  mg,,,Clark et al 08,Standard conditions
Collomia grandiflora,Mass_root_21d,1.082352996,  mg,,,Clark et al 08,Standard conditions
Collomia grandiflora,Mass_seed,2.910000086,mg,,,Flynn et al. 06,
Collomia grandiflora,Mass_seed,3.316999912,mg,,,Clark et al 08b,
Collomia grandiflora,Nitrogen_fixing,,,No,,--,
Collomia grandiflora,Perenniality,,,annual,,--,
Collomia grandiflora,Propagation_mode,,,seed,,--,
Collomia grandiflora,Reproductive_sched,,,monocarpy,,--,
Collomia grandiflora,RGR_standard,0.087639011,per day,,,Clark et al 08,Standard conditions
Collomia grandiflora,Root_system,,,tap,,Flora ID Northwest 04,
Collomia grandiflora,RSA_standard,0.991970539, --,,,Clark et al 08,Standard conditions
Collomia grandiflora,SLA_standard,21.89991379, mm2/mg,,,Clark et al 08,Standard conditions
Collomia grandiflora,Status_Federal,,,none,,--,
Collomia grandiflora,Status_ONHIC,,,none,,--,
Collomia grandiflora,Status_State,,,none,,--,
Collomia grandiflora,Stem_arrangement,,,single upright,,UW Burke Museum,
Collomia grandiflora,ULR_standard,0.004523422,mg/mm2/day,,,Clark et al 08,Standard conditions
Collomia grandiflora,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07",
Collomia grandiflora,Where_native,,,Willamette Valley,,--,
Crataegus douglassii,Authority,,,,Lindl.,--,
Crataegus douglassii,Code,,,,CRDO2,"USDA, NRCS 05",
Crataegus douglassii,Common_name,,,,Douglas' hawthorn,--,
Crataegus douglassii,Dormancy_break_mech,,,stratification,,FS Databse 97,
Crataegus douglassii,Dormancy_break_mech,,,scarification,,FS Databse 97,
Crataegus douglassii,Family,,,,Roseaceae,--,
Crataegus douglassii,Germination_rate,65,%,,,FS Databse 97,After scar. and strat. get 50-80% germination
Crataegus douglassii,Growth_form_std,,,tree,,--,
Crataegus douglassii,Habit,,,deciduous,,--,
Crataegus douglassii,Leaf_division,,,simple,,--,
Crataegus douglassii,Leaf_margin,,,toothed,,--
Crataegus douglassii,Leaf_shape,,,,deltoid,--
Crataegus douglassii,Life_form,,,phanerophyte,,--
Crataegus douglassii,Perenniality,,,perennial,,--
Crataegus douglassii,Propagation_mode,,,seed and vegetative,,--
Crataegus douglassii,Reproductive_sched,,,polycarpy,,--
Crataegus douglassii,Root_system,,,tap,,--
Crataegus douglassii,Status_Federal,,,none,,--
Crataegus douglassii,Status_ONHIC,,,none,,--
Crataegus douglassii,Status_State,,,none,,--
Crataegus douglassii,Stem_arrangement,,,single upright,,--
Crataegus douglassii,Taxonomic_group,,,dicot,,
Crataegus douglassii,Where_native,,,Willamette Valley,,--
Crepis capillaris,Authority,,,,(L.) Wallr.,"USDA, NRCS 07"
Crepis capillaris,Clonality,,,non-clonal,,Ecol. Flora British Isles
Crepis capillaris,Code,,,,CRCA3,"USDA, NRCS 07"
Crepis capillaris,Common_name,,,,smooth hawksbeard,"USDA, NRCS 07"
Crepis capillaris,Diaspore_feature,,,pappus or hair,,Ecol. Flora British Isles
Crepis capillaris,Dispersal_peak_month,7.5,month,,,Grime et al. 90
Crepis capillaris,Dormancy_break_mech,,,not stratification,,Flynn et al. 06
Crepis capillaris,Family,,,,Asteraceae,--
Crepis capillaris,Flowering_peak_month,6.5,month,,,Grime et al. 90
Crepis capillaris,Germination_peak_month,10,month,,,Grime et al. 90
Crepis capillaris,Germination_rate,100,%,,,Flynn et al. 06
Crepis capillaris,Growth_form_Corn,,,semi-basal,,--
Crepis capillaris,Growth_form_std,,,dicot forb,,--
Crepis capillaris,Habit,,,herbaceous,,--
Crepis capillaris,Habitat_main,,,upland prairie,,--
Crepis capillaris,Height_max,60,cm,,,Flora ID Northwest 04
Crepis capillaris,Leaf_division,,,simple,,Flora ID Northwest 04
Crepis capillaris,Leaf_margin,,,toothed,,Ecol. Flora British Isles
Crepis capillaris,Leaf_shape,,,,lanceolate,Grime et al. 90
Crepis capillaris,Life_form,,,therophyte,,Ecol. Flora British Isles
Crepis capillaris,Life_form,,,hemicryptophyte,,Ecol. Flora British Isles
Crepis capillaris,Mass_seed,0.230000004,mg,,,Flynn et al. 06
Crepis capillaris,Nitrogen_fixing,,,No,,--
Crepis capillaris,Perenniality,,,annual/biennial,,"USDA, NRCS 07"
Crepis capillaris,Propagation_mode,,,seed,,Ecol. Flora British Isles
Crepis capillaris,Ps_pathway,,,C3,,Ecol. Flora British Isles
Crepis capillaris,Reproductive_sched,,,monocarpy,,Grime et al. 90
Crepis capillaris,Root_system,,,tap,,Ecol. Flora British Isles
Crepis capillaris,Seed_bank,,,yes,,Ecol. Flora British Isles
Crepis capillaris,Status_Federal,,,none,,--
Crepis capillaris,Status_ONHIC,,,none,,--
Crepis capillaris,Status_State,,,none,,--
Crepis capillaris,Stem_arrangement,,,single upright,,Flora of North America
Crepis capillaris,Stem_arrangement,,,multiple upright,,Flora of North America
Crepis capillaris,Wetland_Indicator_Status,,,FACU,,"USDA, NRCS 07"
Crepis capillaris,Where_native,,,Europe,,Ecol. Flora British Isles
Crepis setosa,Authority,,,,Haller f.,"USDA, NRCS 07"
Crepis setosa,Clonality,,,non-clonal,,--
Crepis setosa,Code,,,,CRSE2,"USDA, NRCS 07"
Crepis setosa,Common_name,,,,bristly hawksbeard,"USDA, NRCS 07"
Crepis setosa,Diaspore_feature,,,pappus or hair,,--
Crepis setosa,Dispersal_peak_month,7.5,month,,,Roberts 06
Crepis setosa,Dormancy_break_mech,,,not stratification,,B&T World Seeds
Crepis setosa,Family,,,,Asteraceae,--
Crepis setosa,Flowering_peak_month,6,month,,,--
Crepis setosa,Growth_form_Corn,,,semi-basal,,--
Crepis setosa,Growth_form_std,,,dicot forb,,--
Crepis setosa,Habit,,,herbaceous,,--
Crepis setosa,Habitat_main,,,upland prairie,,--
Crepis setosa,Height_max,60,cm,,,Flora ID Northwest 04
Crepis setosa,Leaf_division,,,simple,,--
Crepis setosa,Leaf_margin,,,lobed,,Flora of North America
Crepis setosa,Leaf_shape,,,,lanceolate,Flora of North America
Crepis setosa,Life_form,,,therophyte,,--
Crepis setosa,Mass_seed,0.216666669,mg,,,Clark et al 08b
Crepis setosa,Nitrogen_fixing,,,No,,--
Crepis setosa,Perenniality,,,annual,,--
Crepis setosa,Propagation_mode,,,seed,,--
Crepis setosa,Ps_pathway,,,C3,,Ecol. Flora British Isles
Crepis setosa,Reproductive_sched,,,monocarpy,,--
Crepis setosa,Root_system,,,tap,,Flora of North America
Crepis setosa,Status_Federal,,,none,,--
Crepis setosa,Status_ONHIC,,,none,,--
Crepis setosa,Status_State,,,none,,--
Crepis setosa,Stem_arrangement,,,single upright,,Flora of North America
Crepis setosa,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07"
Crepis setosa,Where_native,,,Europe,,Gilkey and Dennis 01
Cynosurus echinatus,Authority,,,,L.,"USDA, NRCS 07"
Cynosurus echinatus,Clonality,,,non-clonal,,Ecol. Flora British Isles
Cynosurus echinatus,Code,,,,CYEC,"USDA, NRCS 07"
Cynosurus echinatus,Common_name,,,,bristly dogstail grass,"USDA, NRCS 07"
Cynosurus echinatus,Diaspore_feature,,,awn,,Flora ID Northwest 04
Cynosurus echinatus,Dispersal_peak_month,7.5,month,,,Roberts 06
Cynosurus echinatus,Dormancy_break_mech,,,not stratification,,Flynn et al. 06
Cynosurus echinatus,Family,,,,Poaceae,--
Cynosurus echinatus,Flowering_peak_month,6,month,,,--
Cynosurus echinatus,Germination_rate,100,%,,,Flynn et al. 06
Cynosurus echinatus,Germination_rate,74.66666412,mg,,,Clark et al 08b
Cynosurus echinatus,Growth_form_Corn,,,tussock,,--
Cynosurus echinatus,Growth_form_std,,,graminoid,,--
Cynosurus echinatus,Habit,,,herbaceous,,--
Cynosurus echinatus,Habitat_main,,,upland prairie,,--
Cynosurus echinatus,Height_max,30,cm,,,Flora ID Northwest 04
Cynosurus echinatus,LAR_standard,34.88515854, mm2/mg,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Leaf_area_21d,1176.062012, mm2,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Leaf_division,,,simple,,--,
Cynosurus echinatus,Leaf_margin,,,entire,,--,
Cynosurus echinatus,Leaf_shape,,,,linear,--,
Cynosurus echinatus,Life_form,,,therophyte,,--,
Cynosurus echinatus,LMR_standard,0.771494985, mg/mg,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Mass_aboveground_21d,24.70999908,  mg,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Mass_root_21d,6.28000021,  mg,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Mass_seed,1.519999981,mg,,,Flynn et al. 06,
Cynosurus echinatus,Mass_seed,2.180000067,mg,,,Clark et al 08b,
Cynosurus echinatus,Nitrogen_fixing,,,No,,--,
Cynosurus echinatus,Perenniality,,,annual,,--,
Cynosurus echinatus,Propagation_mode,,,seed,,--,
Cynosurus echinatus,Ps_pathway,,,C3,,Ecol. Flora British Isles,
Cynosurus echinatus,Reproductive_sched,,,monocarpy,,--,
Cynosurus echinatus,RGR_standard,0.222158119,per day,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Root_system,,,fibrous,,--,
Cynosurus echinatus,RSA_standard,0.869426012, --,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Seed_bank,,,yes,,Ecol. Flora British Isles,
Cynosurus echinatus,SLA_standard,44.33285141, mm2/mg,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Status_Federal,,,none,,--,
Cynosurus echinatus,Status_ONHIC,,,none,,--,
Cynosurus echinatus,Status_State,,,none,,--,
Cynosurus echinatus,Stem_arrangement,,,multiple upright,,--,
Cynosurus echinatus,ULR_standard,0.005887636,mg/mm2/day,,,Clark et al 08,Standard conditions
Cynosurus echinatus,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07",
Cynosurus echinatus,Where_native,,,Europe,,--,
Cytisus scoparius,Authority,,,,(L.) Link,--,
Cytisus scoparius,Code,,,,CYSC4,--,
Cytisus scoparius,Common_name,,,,Scots broom,--,
Cytisus scoparius,Diaspore_feature,,,elaiosome,,--,
Cytisus scoparius,Dispersal_mode,,,combination,,Bossard 91,
Cytisus scoparius,Dispersal_mode,,,combination,,Bossard 93,
Cytisus scoparius,Dispersal_mode,,,animal,,--,
Cytisus scoparius,Dispersal_peak_month,9,month,,,Gill and Pogge 70,
Cytisus scoparius,Dormancy_break_mech,,,scarification,,Abdallah et al. 89,
Cytisus scoparius,Dormancy_break_mech,,,stratification,,Bossard 93,Stratification significantly increased germination
Cytisus scoparius,Dormancy_break_mech,,,scarification,,Bossard 93,
Cytisus scoparius,Dormancy_break_mech,,,scarification,,Gill and Pogge 70,
Cytisus scoparius,Dormancy_break_mech,,,not light,,Bossard 93,34% germinated regardless of light conditions
Cytisus scoparius,Family,,,,Fabaceae,--,
Cytisus scoparius,Flowering_peak_month,5.5,month,,,Gill and Pogge 70,
Cytisus scoparius,Germination_peak_month,4,month,,,Bossard 91,
Cytisus scoparius,Germination_rate,95,%,,,Williams 81,Seeds were scarified
Cytisus scoparius,Growth_form_std,,,shrub,,--,
Cytisus scoparius,Habit,,,deciduous,,--,
Cytisus scoparius,Habitat_main,,,upland prairie,,--,
Cytisus scoparius,Height_max,250,cm,,,Flora ID Northwest 04,
Cytisus scoparius,Leaf_division,,,compound,,--,
Cytisus scoparius,Leaf_margin,,,lobed,,--,
Cytisus scoparius,Leaf_shape,,,,obovate,--,
Cytisus scoparius,Longevity_plant,17,yrs,,,Bossard 91,
Cytisus scoparius,Longevity_plant,13,yrs,,,Williams 81,
Cytisus scoparius,Longevity_plant,17,yrs,,,Bossard 93,This is the maximum age
Cytisus scoparius,Mass_aboveground_timed,0.289999992,g,,,Williams 81,"Harvested at 65 days, grown in low competition and optimal conditions"
Cytisus scoparius,Perenniality,,,perennial,,--,
Cytisus scoparius,Propagation_mode,,,seed and vegetative,,--,
Cytisus scoparius,Ps_pathway,,,C3,,--,
Cytisus scoparius,Reproductive_sched,,,polycarpy,,--,
Cytisus scoparius,Root_system,,,tap,,--,
Cytisus scoparius,Seed_length,3,mm,,,Gill and Pogge 70,
Cytisus scoparius,Seed_longevity,5,yr,,,Bossard 93,Seeds live ST LEAST this long
Cytisus scoparius,Seed_longevity,81,yr,,,Gill and Pogge 70,Some seeds stored this long have been shown to be viable
Cytisus scoparius,Seed_viability,98,%,,,Bossard 93,
Cytisus scoparius,Status_Federal,,,none,,--,
Cytisus scoparius,Status_ONHIC,,,none,,--,
Cytisus scoparius,Status_State,,,none,,--,
Cytisus scoparius,Stem_arrangement,,,multiple upright,,--,
Cytisus scoparius,Taxonomic_group,,,dicot,,,
Cytisus scoparius,Where_native,,,Europe,,--,
Dactylis glomerata,Authority,,,,L.,--,
Dactylis glomerata,Breeding,,,allogamy,,--,
Dactylis glomerata,Clonality,,,clonal aboveground,,Sullivan 92,tillers
Dactylis glomerata,Code,,,,DAGL,--,
Dactylis glomerata,Common_name,,,,orchard grass,--,
Dactylis glomerata,Diaspore_feature,,,awn,,--,
Dactylis glomerata,Dispersal_peak_month,8.5,month,,,Grime et al. 90,
Dactylis glomerata,Dormancy_break_mech,,,not dormant,,FS Databse 97,
Dactylis glomerata,Dormancy_break_mech,,,not stratification,,Maret 96b,
Dactylis glomerata,Family,,,,Poaceae,--,
Dactylis glomerata,Flowering_peak_month,7,month,,,Grime et al. 90,
Dactylis glomerata,Germination_peak_month,10,month,,,FS Databse 97,Most seeds germinate in the fall
Dactylis glomerata,Germination_rate,96.80000305,%,,,Maret 96b,Untreated seeds
Dactylis glomerata,Germination_rate,37.33333206,mg,,,Clark et al 08b,
Dactylis glomerata,Growth_form_Corn,,,tussock,,--,
Dactylis glomerata,Growth_form_std,,,graminoid,,--,
Dactylis glomerata,Habit,,,herbaceous,,--,
Dactylis glomerata,Habitat_main,,,upland prairie,,--,
Dactylis glomerata,Height_max,110,cm,,,Flora ID Northwest 04,
Dactylis glomerata,LAR_standard,39.59288406, mm2/mg,,,Clark et al 08,Standard conditions
Dactylis glomerata,Leaf_area_21d,611.921814, mm2,,,Clark et al 08,Standard conditions
Dactylis glomerata,Leaf_division,,,simple,,--,
Dactylis glomerata,Leaf_margin,,,entire,,--,
Dactylis glomerata,Leaf_shape,,,,lanceolate,--,
Dactylis glomerata,Life_form,,,hemicryptophyte,,--,
Dactylis glomerata,LMR_standard,0.762473464, mg/mg,,,Clark et al 08,Standard conditions
Dactylis glomerata,Longevity_plant,20,yrs,,,FS Databse 97,Potentially long-lived but usually does not persist past 1 or 2 decades
Dactylis glomerata,Mass_aboveground_21d,11.32727242,  mg,,,Clark et al 08,Standard conditions
Dactylis glomerata,Mass_aboveground_timed,2.400000095,g,,,Gurevitch et al. 90,Seedlings grown in isolation for 13 weeks under optimal conditions
Dactylis glomerata,Mass_aboveground_timed,0.0056,g,,,Hill et al. 85,"Harvested at 16 days; grown in isolation in optimal, greenhouse conditions"
Dactylis glomerata,Mass_aboveground_timed,1.659999967,g,,,Hill et al. 85,"Harvested at 47 days; grown in isolation in optimal, greenhouse conditions"
Dactylis glomerata,Mass_aboveground_timed,2.900000095,g,,,Sugiyama and Nakashima 91,Harvested 8 days after emergence; grown in isolation in optimal conditions; this value seems incredibly high to me and I have a hard time believing it (perhaps they meant mg instead of g?)
Dactylis glomerata,Mass_aboveground_timed,5.400000095,g,,,Hicks and Reader 95,Harvested at 120 days; grown with ample water and moderate to high nutirents
Dactylis glomerata,Mass_aboveground_timed,0.610000014,g,,,Ryser and Lambers 95,Harvested at 50 days; grown in high nutrient conditions
Dactylis glomerata,Mass_aboveground_timed,0.409999996,g,,,Ryser and Lambers 95,Harvested at 50 days; grown in low nutrient conditions
Dactylis glomerata,Mass_root_21d,2.299999952,  mg,,,Clark et al 08,Standard conditions
Dactylis glomerata,Mass_seed,0.50999999,mg,,,Grime et al. 90,
Dactylis glomerata,Mass_seed,0.653999984,mg,,,Clark et al 08b,
Dactylis glomerata,Nitrogen_fixing,,,No,,--,
Dactylis glomerata,Perenniality,,,perennial,,--,
Dactylis glomerata,Propagation_mode,,,seed and vegetative,,--,
Dactylis glomerata,Ps_pathway,,,C3,,--,
Dactylis glomerata,Reproductive_sched,,,polycarpy,,--,
Dactylis glomerata,RGR_seedling,147,mg/g day,,,Ryser and Lambers 95,
Dactylis glomerata,RGR_seedling,0.100000001,cm/day/plant,,,Hicks and Reader 95,Leaves only
Dactylis glomerata,RGR_seedling,0.119999997,mg total biomass/d,,,Davis 97,
Dactylis glomerata,RGR_standard,0.22942248,per day,,,Clark et al 08,Standard conditions
Dactylis glomerata,Root_system,,,fibrous,,--,
Dactylis glomerata,RSA_standard,0.795710683, --,,,Clark et al 08,Standard conditions
Dactylis glomerata,Seed_bank,,,yes,,--,
Dactylis glomerata,Seed_longevity,3,yr,,,Grime et al. 90,
Dactylis glomerata,SLA_standard,50.05136871, mm2/mg,,,Clark et al 08,Standard conditions
Dactylis glomerata,Status_Federal,,,none,,--,
Dactylis glomerata,Status_ONHIC,,,none,,--,
Dactylis glomerata,Status_State,,,none,,--,
Dactylis glomerata,Stem_arrangement,,,multiple upright,,--,
Dactylis glomerata,Taxonomic_group,,,monocot,,,
Dactylis glomerata,ULR_standard,0.00561745,mg/mm2/day,,,Clark et al 08,Standard conditions
Dactylis glomerata,Wetland_Indicator_Status,,,FACU,,"USDA, NRCS 07",
Dactylis glomerata,Where_native,,,Eurasia,,--,
Danthonia californica,Authority,,,,Boland.,--,
Danthonia californica,Clonality,,,non-clonal,,Flora ID Northwest 04,
Danthonia californica,Code,,,,DACA3,--,
Danthonia californica,Common_name,,,,California oatgrass,--,
Danthonia californica,Diaspore_feature,,,awn,,,
Danthonia californica,Dispersal_peak_month,6,month,,,Boyer 07a,
Danthonia californica,Dormancy_break_mech,,,stratification,,Guerrant and Raven 95,
Danthonia californica,Family,,,,Poaceae,--,
Danthonia californica,Flowering_peak_month,5,month,,,Boyer 07a,
Danthonia californica,Germination_peak_month,3,month,,,Boyer 07a,
Danthonia californica,Germination_rate,86,%,,,Guerrant and Raven 95,Maximum germination
Danthonia californica,Germination_rate,57,%,,,Wilson et al. 95a,Unstratified seeds
Danthonia californica,Germination_rate,3,%,,,Roberts and Clark 04a,Fungicide -
Danthonia californica,Germination_rate,6.300000191,%,,,Roberts and Clark 04b,
Danthonia californica,Growth_form_Corn,,,tussock,,,
Danthonia californica,Growth_form_std,,,graminoid,,--,
Danthonia californica,Habit,,,herbaceous,,--,
Danthonia californica,Habitat_main,,,upland prairie,,--,
Danthonia californica,Height_max,80,cm,,,Flora ID Northwest 04,
Danthonia californica,LAR_standard,22.14380836, mm2/mg,,,Clark et al 07,Standard conditions
Danthonia californica,Leaf_area_21d,151.9077759, mm2,,,Clark et al 07,Standard conditions
Danthonia californica,Leaf_division,,,simple,,--,
Danthonia californica,Leaf_margin,,,entire,,--,
Danthonia californica,Leaf_shape,,,,linear,--,
Danthonia californica,Life_form,,,hemicryptophyte,,--,
Danthonia californica,Life_form_exp,,,H mstem,,,
Danthonia californica,LMR_standard,0.722066224, mg/mg,,,Clark et al 07,Standard conditions
Danthonia californica,Mass_aboveground_21d,5.125,  mg,,,Clark et al 07,Standard conditions
Danthonia californica,Mass_root_21d,2.674999952,  mg,,,Clark et al 07,Standard conditions
Danthonia californica,Mass_seed,4.960000038,mg,,,Guerrant and Raven 95,
Danthonia californica,Mass_seed,4.199999809,mg,,,Wilson et al. 95a,
Danthonia californica,Mass_seed,4.460000038,mg,,,Flynn et al. 04,"Baker Seed Herbarium, CA"
Danthonia californica,Mass_seed,3.247999907,mg,,,Roberts 05b,
Danthonia californica,Nitrogen_fixing,,,No,,--,
Danthonia californica,Perenniality,,,perennial,,--,
Danthonia californica,Propagation_mode,,,seed,,--,
Danthonia californica,Reproductive_sched,,,polycarpy,,--,
Danthonia californica,RGR_seedling,0.140000001,mg total biomass/d,,,Davis 97,
Danthonia californica,RGR_standard,0.124732599,per day,,,Clark et al 07,Standard conditions
Danthonia californica,Root_system,,,fibrous,,--,
Danthonia californica,RSA_standard,0.940033078, --,,,Clark et al 07,Standard conditions
Danthonia californica,Seed_length,9.220000267,mm,,,Guerrant and Raven 95,
Danthonia californica,Seed_length,10.59000015,mm,,,Roberts 05b,
Danthonia californica,Seed_shape,0.234840006,mm3,,,Roberts 05b,
Danthonia californica,Seed_viability,62,%,,,Wilson et al. 95a,
Danthonia californica,SLA_standard,30.18750381, mm2/mg,,,Clark et al 07,Standard conditions
Danthonia californica,Status_Federal,,,none,,--,
Danthonia californica,Status_ONHIC,,,none,,--,
Danthonia californica,Status_State,,,none,,--,
Danthonia californica,Stem_arrangement,,,multiple upright,,--,
Danthonia californica,Taxonomic_group,,,monocot,,,
Danthonia californica,ULR_standard,0.006323171,mg/mm2/day,,,Clark et al 07,Standard conditions
Danthonia californica,Wetland_Indicator_Status,,,FACU,,"USDA, NRCS 07",
Danthonia californica,Where_native,,,Willamette Valley,,--,
Danthonia spicata,Authority,,,,(L.) Beauv. ex Roemer & J.A. Schultes,"USDA, NRCS 07",
Danthonia spicata,Clonality,,,clonal aboveground,,Covington 2000,tillers
Danthonia spicata,Code,,,,DASP2,"USDA, NRCS 07",
Danthonia spicata,Common_name,,,,poverty oatgrass,"USDA, NRCS 07",
Danthonia spicata,Diaspore_feature,,,awn,,Flora ID Northwest 04,
Danthonia spicata,Dispersal_peak_month,8,month,,,Schultz et al. 01b,
Danthonia spicata,Dormancy_break_mech,,,stratification,,Schultz et al. 01b,
Danthonia spicata,Dormancy_break_mech,,,not stratification,,Flynn et al. 06,
Danthonia spicata,Family,,,,Poaceae,--,
Danthonia spicata,Flowering_peak_month,6.5,month,,,Schultz et al. 01b,
Danthonia spicata,Germination_rate,100,%,,,Flynn et al. 06,
Danthonia spicata,Germination_rate,76,mg,,,Clark et al 08b,
Danthonia spicata,Growth_form_Corn,,,tussock,,--,
Danthonia spicata,Growth_form_std,,,graminoid,,--,
Danthonia spicata,Habit,,,herbaceous,,--,
Danthonia spicata,Habitat_main,,,upland prairie,,--,
Danthonia spicata,Height_max,50,cm,,,Flora ID Northwest 04,
Danthonia spicata,LAR_standard,26.78370857, mm2/mg,,,Clark et al 08,Standard conditions
Danthonia spicata,Leaf_area_21d,87.73999786, mm2,,,Clark et al 08,Standard conditions
Danthonia spicata,Leaf_division,,,simple,,--,
Danthonia spicata,Leaf_margin,,,entire,,--,
Danthonia spicata,Leaf_shape,,,,linear,--,
Danthonia spicata,Life_form,,,hemicryptophyte,,--,
Danthonia spicata,LMR_standard,0.762445927, mg/mg,,,Clark et al 08,Standard conditions
Danthonia spicata,Mass_aboveground_21d,2.237499952,  mg,,,Clark et al 08,Standard conditions
Danthonia spicata,Mass_root_21d,0.537500024,  mg,,,Clark et al 08,Standard conditions
Danthonia spicata,Mass_seed,0.519999981,mg,,,Flynn et al. 06,
Danthonia spicata,Mass_seed,1.26699996,mg,,,Clark et al 08b,
Danthonia spicata,Nitrogen_fixing,,,No,,--,
Danthonia spicata,Perenniality,,,perennial,,--,
Danthonia spicata,Propagation_mode,,,seed and vegetative,,--,
Danthonia spicata,Reproductive_sched,,,polycarpy,,--,
Danthonia spicata,RGR_standard,0.129147142,per day,,,Clark et al 08,Standard conditions
Danthonia spicata,Root_system,,,fibrous,,--,
Danthonia spicata,RSA_standard,0.600061834, --,,,Clark et al 08,Standard conditions
Danthonia spicata,Seed_bank,,,yes,,Covington 2000,
Danthonia spicata,SLA_standard,34.0285759, mm2/mg,,,Clark et al 08,Standard conditions
Danthonia spicata,Status_Federal,,,none,,--,
Danthonia spicata,Status_ONHIC,,,none,,--,
Danthonia spicata,Status_State,,,none,,--,
Danthonia spicata,Stem_arrangement,,,multiple upright,,--,
Danthonia spicata,ULR_standard,0.006004089,mg/mm2/day,,,Clark et al 08,Standard conditions
Danthonia spicata,Wetland_Indicator_Status,,,NL,,"USDA, NRCS 07",
Danthonia spicata,Where_native,,,Willamette Valley,,Oregon Plant Atlas,
Daucus carota,Authority,,,,L.,--,
Daucus carota,Breeding,,,mixed,,--,
Daucus carota,Clonality,,,non-clonal,,Ecol. Flora British Isles,
Daucus carota,Code,,,,DACA6,--,
Daucus carota,Common_name,,,,Queen Anne's lace,--,
Daucus carota,Diaspore_feature,,,hook or barb,,Ecol. Flora British Isles,
Daucus carota,Dispersal_peak_month,8.5,month,,,Grime et al. 90,
Daucus carota,Dormancy_break_mech,,,not stratification,,Maret 96b,
Daucus carota,Family,,,,Apiaceae,--,
Daucus carota,Flowering_peak_month,7,month,,,Grime et al. 90,
Daucus carota,Germination_peak_month,3,month,,,Ecol. Flora British Isles,fall and spring germination
